item_id,part,root_text,intent_primary,intent_secondary,escalate,reason_code,labeller_confidence_1_3,quality_flags,pred_intent,pred_decision,pred_reason_code,pred_reason,pred_reply,pred_forced_reason,pred_violations,pred_retrieval_max_sim,pred_model_decision
G0002,A,thanks boo @SpotifyCares https://t.co/wlc0dCsTKd,other_unclear,,False,none,3,[],other_unclear,escalate,no_actionable_content,message has no actionable text (image-only or empty); a human should look,You're welcome! Give us a shout if you have other questions. We'll be here!,no_actionable_content,[],0.4889296991186258,auto
G0004,A,Hey @SpotifyCares is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,payment_billing_subscription,,False,none,3,[],payment_billing_subscription,escalate,draft_invalid,draft failed validity checks (url_not_in_evidence); routed to a human,"Hey! We understand, but right now, it's not possible to apply additional discounts or offers to a Premium for Family plan. You can check out our available plans at https://www.spotify.com/premium/.",draft_invalid,['url_not_in_evidence'],0.3398988937072114,auto
G0005,A,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The customer is asking about the availability of specific content, and the standard response is to inform them that content is added as soon as it becomes available to the service.",We'll have it available to you as soon as it's available to us! https://t.co/0i8GpimuDa,,[],0.2648044815280298,auto
G0008,B,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,"The customer is reporting a compromised account, which requires following the standard security procedure provided in the evidence.","Hey, we’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next.",account_or_pii,[],0.28295831184198955,escalate
G0010,A,@117168 Why aren’t you compatible with AppleWatch 3?,feature_request_or_feedback,,False,none,3,[],feature_request_or_feedback,auto,none,"The customer is requesting compatibility for a specific device, which is a feature request handled by acknowledging the feedback and passing it to the relevant team.","Hey! Thanks for your feedback. While we have no info to share about this, we'll make sure your thoughts about this reach the right team.",,[],0.3578375578289639,auto
G0011,B,"@115888 I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet @129941 would take my payment/new card info.",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,account_or_pii,"The customer is having trouble updating their payment method, which requires a human to check the account details in a private channel.",Hey there! We've come to the rescue. Could you DM us your account's email address or username? We'll check behind the scenes https://t.co/ldFdZRiNAt,payment_refund,[],0.3514838882684169,escalate
G0014,B,@SpotifyCares wat is you doin https://t.co/xYZ1EqGige,other_unclear,,True,no_actionable_content,3,[],other_unclear,escalate,account_or_pii,"The tweet is vague and requires account-specific investigation to understand the issue, so we move to DM.",Hey! Can you DM us your account's email address? We'll see what we can suggest https://t.co/ldFdZRiNAt,,[],0.35861357901556135,escalate
G0016,B,"@117153 Having some issues logging in via oauth and unknown errors being returned from the web api, any ideas?",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,"The customer is experiencing login issues, which requires account-specific investigation in a private channel.",Hi there! Sorry to hear you're having trouble logging in. Could you DM us your account's email address? We'll take a look backstage https://t.co/ldFdZRiNAt,,[],0.32602028913256054,escalate
G0017,B,@SpotifyCares me and my friend made a song and my name is under the right profile but his isn't can you fix that?,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The issue relates to artist profile metadata, which is handled by distributors as shown in the evidence.",Hey! Sorry about that. We’d recommend reaching out to your distributor/aggregator. They'll work with our team to get this sorted.,,[],0.26564085542092664,auto
G0018,B,@115888 you mean to tell me I pay 10 dollars a month for you to have only 3 RBD songs? I’m heartbroken https://t.co/siBTlHyYfA,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The customer is complaining about the availability of specific content, which is a standard catalogue issue handled by explaining that rights holders determine availability.","Hi! We're sorry to hear you're disappointed. Music availability on Spotify depends on agreements between us and the rights holders. We're always working to add more, so keep an eye out for updates!",,[],0.28291874839147374,auto
G0019,A,"@SpotifyCares hi, sometimes when I go back on Spotify a song I would never play is on the currently playing.",account_access_security,,True,account_or_pii,3,[],playback_or_app_issue,auto,none,"The customer is reporting a potential app malfunction, and the standard procedure is to ask for device and version details to troubleshoot.",Hey! That doesn't sound right. Can you let us know the device and Spotify version you're using? We'll see what we can suggest.,,[],0.31825519602231955,auto
G0020,A,@SpotifyCares any update on when Reputation will be on Spotify?,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The customer is asking about the availability of a specific album, and the evidence provides a standard, grounded response for this exact query.","Hi! Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c",,[],0.5091956631257524,auto
G0021,A,@SpotifyCares hello why I can't find Demi Lovato's song I'll be home for christmas?,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The customer is asking about the availability of a specific song, and the evidence shows that SpotifyCares provides a standard link explaining how content availability works.","Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa",,[],0.3565194026370505,auto
G0022,B,@SpotifyCares hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,account_access_security,support_followup_or_complaint,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,"The customer reports a hacked account, which requires security steps and a transition to private channels for account-specific assistance.","We're sorry to hear about your account. Please follow the steps at https://t.co/QHn3ok8y2n to secure it. If you need further assistance, please send us a DM.",account_or_pii,[],0.3038571181910587,escalate
G0023,A,"@115888 I think you need to have your security team look into this.
Cc: @123321 @466175 https://t.co/kGwvGpZ0PK",other_unclear,,True,legal_safety_threat,3,[],account_access_security,escalate,account_or_pii,"The customer is reporting a potential security issue, which requires account-specific investigation in a private channel.","Hi there. Don't worry, help's here. Can you DM us your username or email address so we can take a look? https://t.co/ldFdZRiNAt",,[],0.29631693148902705,escalate
G0025,A,@SpotifyCares I can’t get Hulu on my premium for students + Hulu account. When I try to log into Hulu I get this message “we’re having trouble authorizing your account with Spotify. Please contact Spotify support to help resolve this issue”,family_or_student_plan,,True,account_or_pii,3,[],family_or_student_plan,escalate,account_or_pii,"The issue involves account authorization for a student plan benefit, which requires a private check of the account.",Hey! Could you DM us your account's email address? We'll take a look and see what's going on https://t.co/ldFdZRiNAt,,[],0.7260178737408783,escalate
G0027,A,"Har stört mig länge nu på att ni har skrivit ""Ditt Bibliotek"", ""Din daily mix"", ""Din musik2. Är det inte tänkt att det ska vara Mitt Bibliotek när det är just min musik, min daily mix och mina spellistor?? @147836 @8199",feature_request_or_feedback,,True,non_english,3,[],feature_request_or_feedback,escalate,non_english,message is not in English; routed to a human,"Hey! We can help out in English via Twitter, but we also have Swedish support via email at https://t.co/ZgU70TbP8M. Thanks for the feedback on the app language, we'll be sure to pass your comments on to our team.",non_english,[],0.38610185110490525,escalate
G0028,A,@642 @148611 san na po ang PIN number??? Nakailang ulit ko na to https://t.co/NTSEhz4Wvf,account_access_security,,True,non_english,3,[],family_or_student_plan,escalate,non_english,message is not in English; routed to a human,"Hi! We don't currently offer Filipino support, but we can help out in English here. We've just sent a DM. Let's carry on chatting there.",non_english,['claims_action_taken'],0.31539487015521916,escalate
G0029,A,"@115888
Hello, just paid for premium and am not getting the service",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,account_or_pii,"The customer is reporting a payment issue where they have paid for Premium but do not have access, which requires account-specific investigation in a private channel.",Hey there! Could you send us a DM with your account's email address or username? We'll take a look backstage https://t.co/ldFdZR1cbT,payment_refund,[],0.29810311213988955,escalate
G0034,B,"@117153 Hi I've paid 3 months premium but still free account cab you check on this. Thanks. Here's the ref number LKRVEV91, I've paid again but still free here's the 2nd reference number MUL7GG36",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,account_or_pii,"The customer is reporting a payment issue where their account remains on the free tier, which requires a human to investigate the account details in a private channel.","Hey there, sorry to hear about this! Can you DM us your account's email address? We'll have a look backstage https://t.co/ldFdZRiNAt",payment_refund,[],0.2866461899840097,escalate
G0036,B,"@115888 i found out that ive been getting charged with a premium in my itunes “subscription” but i have been unsubscribed since september and i’m just on my free account, i can’t find any help feature to reach out to your app CS",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,account_or_pii,"The customer is reporting an unauthorized charge, which requires a human to investigate the account details in a private channel.",Hey there! Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt,,[],0.28363009261678424,escalate
G0037,A,"@SpotifyCares  i can't join the Spotify Premium, that i had use it for a while but i can't use it since last week! please help",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,account_or_pii,"The customer is reporting a subscription issue that requires account-specific investigation, which must be handled via DM.","Hey, help's here! Could you DM us your account's email address? We'll take a look backstage https://t.co/ldFdZRiNAt",,[],0.24403076176443864,escalate
G0038,A,"So @115888 you kick me off my families Family Plan then your website isn't allowing me to accept the invitation while trying to get back on the plan, why?",family_or_student_plan,,False,none,3,[],family_or_student_plan,escalate,account_or_pii,"The customer is having trouble accepting a family plan invitation, which requires account-specific investigation in a private channel.","Hey there! Don't worry, help's here. Can you DM us your account's email address or username? We'll take a look backstage https://t.co/ldFdZRiNAt",,[],0.3030365491144191,escalate
