item_id,part,root_text,intent_primary,intent_secondary,escalate,reason_code,labeller_confidence_1_3,quality_flags,pred_intent,pred_decision,pred_reason_code,pred_reason,pred_reply,pred_forced_reason,pred_violations,pred_retrieval_max_sim,pred_model_decision
G0002,A,thanks boo @SpotifyCares https://t.co/wlc0dCsTKd,other_unclear,,False,none,3,[],feature_request_or_feedback,escalate,no_actionable_content,message has no actionable text (image-only or empty); a human should look,You're welcome! We'll be here if you have other questions. Give us a shout anytime 😊,no_actionable_content,[],0.4889296991186258,auto
G0004,A,Hey @SpotifyCares is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,payment_billing_subscription,,False,none,3,[],payment_billing_subscription,auto,none,The customer is asking about availability of a specific pricing offer ($0.99 or $11.99 for 3 months) for a family premium account. Evidence shows SpotifyCares previously responded to similar queries by stating the offer is not currently available and directing users to check other offers or DM for further assistance. This matches the public reply grounded in evidence.,Hi! The $0.99/3 months offer isn't available right now. You can check other offers at https://t.co/WcBQzucFjB. Let us know if you'd like help with anything else!,,[],0.3398988937072114,auto
G0005,A,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,"The customer is asking why certain content (Holiday Spotify Singles) is available to one user but not another, indicating a request about content availability. The evidence shows SpotifyCares responds by stating content availability is determined by rights holders and is communicated when available, which aligns with the customer's query.","Content availability is determined by rights holders, not user access. We’ll have new releases available when they’re ready. For updates, check the Spotify Singles page: https://t.co/0i8GpimuDa",,[],0.2648044815280298,auto
G0008,B,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,"The customer reports their account has been hacked, with login information changed, and cannot log in — this is a clear account access/security issue requiring verification of identity and account recovery, which SpotifyCares handles by directing to a private channel for identity proof and account recovery.","Hey there! We’re sorry to hear about your account being hacked. To help secure your account, we’ll need to verify your identity. Please reach out to us via DM so we can assist you securely.",account_or_pii,[],0.28295831184198955,escalate
G0010,A,@117168 Why aren’t you compatible with AppleWatch 3?,feature_request_or_feedback,,False,none,3,[],feature_request_or_feedback,auto,none,"The customer is requesting Apple Watch compatibility, which is a product feature request. The most similar past case (E3) shows SpotifyCares responding with a link to an official idea page where users can vote for features, aligning with the public reply that would be grounded in evidence.","Hey! Thanks for your feedback. While we have no info to share about this, we'll make sure your thoughts about Apple Watch compatibility reach the right team. Check out the official idea and add your vote: https://t.co/SEK4E4gi22",,[],0.3578375578289639,auto
G0011,B,"@115888 I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet @129941 would take my payment/new card info.",payment_billing_subscription,,True,payment_refund,3,[],account_access_security,escalate,account_or_pii,"The customer is unable to update their payment method, which requires account access to verify and modify. Similar cases show SpotifyCares asking for account email or username via DM to investigate, indicating account-level access is needed. This falls under account access/security, and the public reply must escalate to a human due to account involvement.",Can you DM us your account's email address? We'll check behind the scenes and help you update your payment method https://t.co/ldFdZRiNAt,payment_refund,[],0.3514838882684169,escalate
G0014,B,@SpotifyCares wat is you doin https://t.co/xYZ1EqGige,other_unclear,,True,no_actionable_content,3,[],content_request_or_availability,auto,none,"The customer is asking about what Spotify is doing, likely regarding content availability, and E2 shows SpotifyCares explaining licensing limitations on song downloads and providing a link to content info, which matches the public reply needed.","Hey! It's possible to download only 3,333 songs due to licensing, but you can have the same number of offline tracks on 2 other devices. More info here: https://t.co/WSjJgGAmPy. We're here for you if there's anything else",,[],0.35861357901556135,auto
G0016,B,"@117153 Having some issues logging in via oauth and unknown errors being returned from the web api, any ideas?",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,the draft hands the customer to DM to check their account; a human takes over there,Hey! Do you get an error message when logging in? Can you DM us your account's email address? We'll take a look https://t.co/ldFdZRiNAt,dm_handoff,[],0.32602028913256054,auto
G0017,B,@SpotifyCares me and my friend made a song and my name is under the right profile but his isn't can you fix that?,content_request_or_availability,,False,none,3,[],account_settings_change,auto,account_or_pii,"The customer is requesting a profile change for their song attribution, which falls under account settings related to artist profile display. The most similar cases involve artist profile issues, and SpotifyCares consistently directs such cases to Artist Support rather than fixing it internally.",Hi there! Our friends in Artist Support are the right team to help with this. You can get in touch with them at https://t.co/p1wbtdELHu,,[],0.26564085542092664,auto
G0018,B,@115888 you mean to tell me I pay 10 dollars a month for you to have only 3 RBD songs? I’m heartbroken https://t.co/siBTlHyYfA,content_request_or_availability,,False,none,3,[],playback_or_app_issue,auto,none,"The customer expresses frustration about having only 3 RBD songs despite paying $10/month, implying a limitation in music availability or library size. The most similar case (E1) shows a customer questioning track limits, and SpotifyCares responded with a clarifying question about total tracks. This matches the intent of a playback or app issue related to music availability or library size.","Hi there! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more? There's currently a 10k limit in Your Music (Songs + Albums + Artists). More info here: https://t.co/59ABtm5Ftl",,[],0.28291874839147374,auto
