item_id,part,root_text,intent_primary,intent_secondary,escalate,reason_code,labeller_confidence_1_3,quality_flags,pred_intent,pred_decision,pred_reason_code,pred_reason,pred_reply,pred_forced_reason,pred_violations,pred_retrieval_max_sim,pred_model_decision
G0002,A,thanks boo @SpotifyCares https://t.co/wlc0dCsTKd,other_unclear,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0004,A,Hey @SpotifyCares is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,payment_billing_subscription,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0005,A,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,content_request_or_availability,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0008,B,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_access_security,,True,account_or_pii,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0010,A,@117168 Why aren’t you compatible with AppleWatch 3?,feature_request_or_feedback,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0011,B,"@115888 I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet @129941 would take my payment/new card info.",payment_billing_subscription,,True,payment_refund,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0014,B,@SpotifyCares wat is you doin https://t.co/xYZ1EqGige,other_unclear,,True,no_actionable_content,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0016,B,"@117153 Having some issues logging in via oauth and unknown errors being returned from the web api, any ideas?",account_access_security,,True,account_or_pii,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0017,B,@SpotifyCares me and my friend made a song and my name is under the right profile but his isn't can you fix that?,content_request_or_availability,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0018,B,@115888 you mean to tell me I pay 10 dollars a month for you to have only 3 RBD songs? I’m heartbroken https://t.co/siBTlHyYfA,content_request_or_availability,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0019,A,"@SpotifyCares hi, sometimes when I go back on Spotify a song I would never play is on the currently playing.",account_access_security,,True,account_or_pii,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0020,A,@SpotifyCares any update on when Reputation will be on Spotify?,content_request_or_availability,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0021,A,@SpotifyCares hello why I can't find Demi Lovato's song I'll be home for christmas?,content_request_or_availability,,False,none,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0022,B,@SpotifyCares hi Spotify you've sent this link in an email to me to contact you so I'd thought I'd drop you a line. My premium account has been hacked and your customer service is nothing short of atrocious. I hope your night is going better than mine.,account_access_security,support_followup_or_complaint,True,account_or_pii,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0023,A,"@115888 I think you need to have your security team look into this.
Cc: @123321 @466175 https://t.co/kGwvGpZ0PK",other_unclear,,True,legal_safety_threat,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
G0025,A,@SpotifyCares I can’t get Hulu on my premium for students + Hulu account. When I try to log into Hulu I get this message “we’re having trouble authorizing your account with Spotify. Please contact Spotify support to help resolve this issue”,family_or_student_plan,,True,account_or_pii,3,[],playback_or_app_issue,escalate,none,baseline policy: escalate everything,Sorry to hear that! Please DM us the details and we'll take a look.,,[],,escalate
