item_id,part,root_text,intent_primary,intent_secondary,escalate,reason_code,labeller_confidence_1_3,quality_flags,pred_intent,pred_decision,pred_reason_code,pred_reason,pred_reply,pred_forced_reason,pred_violations,pred_retrieval_max_sim,pred_model_decision
G0002,A,thanks boo @SpotifyCares https://t.co/wlc0dCsTKd,other_unclear,,False,none,3,[],other_unclear,escalate,no_actionable_content,rule: no actionable text,You're welcome! Give us a shout if you have other questions. We'll be... https://t.co/AiEGsVLjXp,,[],0.4889296991186258,escalate
G0004,A,Hey @SpotifyCares is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,payment_billing_subscription,,False,none,3,[],payment_billing_subscription,escalate,payment_refund,rule: the nearest historical reply hands the customer to DM,Hey! Help's here. Can you DM us your account's username or email address? We'll check things backstage https://t.co/ldFdZRiNAt,,[],0.3398988937072114,escalate
G0005,A,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,content_request_or_availability,,False,none,3,[],playback_or_app_issue,auto,none,rule: no escalation pattern matched,"Hey, help's here! Is this what you're looking for: https://t.co/FagAlFyvLs?",,[],0.2648044815280298,auto
G0008,B,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,rule: policy pattern 'account_or_pii' matched,Hey Lucinda! We’re sorry to hear that. Check out https://t.co/QHn3ok8y2n for what to do next. Let us know if you have other questions,,[],0.28295831184198955,escalate
G0010,A,@117168 Why aren’t you compatible with AppleWatch 3?,feature_request_or_feedback,,False,none,3,[],content_request_or_availability,auto,none,rule: no escalation pattern matched,Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSX9QgM,,[],0.3100261868467559,auto
G0011,B,"@115888 I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet @129941 would take my payment/new card info.",payment_billing_subscription,,True,payment_refund,3,[],payment_billing_subscription,escalate,payment_refund,rule: policy pattern 'payment_refund' matched,Hi Eric! Can you try using a different browser or an incognito/private browsing window to see if that helps? Let us know how it goes,,[],0.3349426589529986,escalate
G0014,B,@SpotifyCares wat is you doin https://t.co/xYZ1EqGige,other_unclear,,True,no_actionable_content,3,[],other_unclear,escalate,account_or_pii,rule: the nearest historical reply hands the customer to DM,Hey! Can you DM us your account's email address? We'll see what we can suggest https://t.co/ldFdZRiNAt,,[],0.35861357901556135,escalate
G0016,B,"@117153 Having some issues logging in via oauth and unknown errors being returned from the web api, any ideas?",account_access_security,,True,account_or_pii,3,[],support_followup_or_complaint,escalate,account_or_pii,rule: the nearest historical reply hands the customer to DM,"Hey Natalie! Do you get an error message when logging in? Also, can you DM us your account's email address? We'll take a look https://t.co/ldFdZRiNAt",,[],0.27341722151850095,escalate
G0017,B,@SpotifyCares me and my friend made a song and my name is under the right profile but his isn't can you fix that?,content_request_or_availability,,False,none,3,[],playback_or_app_issue,auto,none,rule: no escalation pattern matched,"1: Hey Danny, sorry about that! We’d recommend reaching out to your distributor/aggregator.",,[],0.26564085542092664,auto
G0018,B,@115888 you mean to tell me I pay 10 dollars a month for you to have only 3 RBD songs? I’m heartbroken https://t.co/siBTlHyYfA,content_request_or_availability,,False,none,3,[],content_request_or_availability,auto,none,rule: no escalation pattern matched,"Hi there! How many tracks would you say you have in Songs (roughly)? e.g. 100, 1000, 5000, or more?",,[],0.23698634570612195,auto
