item_id,part,root_text,intent_primary,intent_secondary,escalate,reason_code,labeller_confidence_1_3,quality_flags,pred_intent,pred_decision,pred_reason_code,pred_reason,pred_reply,pred_forced_reason,pred_violations,pred_retrieval_max_sim,pred_model_decision
G0002,A,thanks boo @SpotifyCares https://t.co/wlc0dCsTKd,other_unclear,,False,none,3,[],other_unclear,escalate,no_actionable_content,message has no actionable text (image-only or empty); a human should look,Thanks for the kind words! 😊,no_actionable_content,[],,auto
G0004,A,Hey @SpotifyCares is it possible for me to get the $0.99/3 months or even the $11.99/3 months and then pay for a family premium account?,payment_billing_subscription,,False,none,3,[],payment_billing_subscription,escalate,payment_refund,"The customer is asking about pricing options for a family premium account, which involves payment and subscription entitlement. This falls under payment_billing_subscription. Since the query involves a family plan and pricing, and no evidence is available, a human must verify eligibility and pricing details. The policy requires escalation for payment-related questions involving family plans.","To help you with your family premium plan pricing, I'll need to check your eligibility. Please note that student or family discounts are subject to verification. I'll connect you to a human to assist further.",,[],,escalate
G0005,A,@115888 how you let @335001 have 2 Holiday Spotify Singles but no @364751 ??? https://t.co/HQQvdG3pog,content_request_or_availability,,False,none,3,[],content_request_or_availability,escalate,draft_invalid,draft failed validity checks (anonymised_handle); routed to a human,"Spotify's content availability is determined by rights holders, not user access. If you'd like to know why @335001 has access and @364751 doesn't, we can help clarify the content policy. Let us know how you'd like to proceed.",draft_invalid,['anonymised_handle'],,auto
G0008,B,"@SpotifyCares I have the family plan and a hacker has hacked me twice this past month. I changed my password, but this time they changed my log in info. I cant do a thing. I NEED HELP   https://t.co/8t2QYN8LtT   for id proof",account_access_security,,True,account_or_pii,3,[],account_access_security,escalate,account_or_pii,"The customer reports their account has been hacked twice, login information has been changed, and they cannot access their account. This involves account access and security, requiring verification of identity and account status, which necessitates a human review.","I'm sorry you're experiencing this. Your account has been compromised. To protect your family plan, we need to verify your identity. Please contact us via DM so we can assist you securely.",account_or_pii,[],,escalate
G0010,A,@117168 Why aren’t you compatible with AppleWatch 3?,feature_request_or_feedback,,False,none,3,[],feature_request_or_feedback,auto,none,"The tweet asks about Apple Watch 3 compatibility, which is a product feature request. A careful support agent would acknowledge this as a feature request and respond with a public, generic reply that aligns with standard handling of such queries.","Spotify doesn't currently support Apple Watch 3. For updates on future features, check our official announcements. This is a feature request, not a malfunction.",,[],,auto
G0011,B,"@115888 I’ve been trying to update my payment method on you website for the last 45 minutes, but it won’t work. I bet @129941 would take my payment/new card info.",payment_billing_subscription,,True,payment_refund,3,[],account_access_security,escalate,account_or_pii,"The customer is unable to update their payment method, which involves account access and personal financial data. This requires verification of identity and account details, which can only be done by a human agent. The tweet implies account compromise or unauthorized access, triggering the account_or_pii escalation policy.","To protect your account, we'll need to verify your identity. Please reply to this tweet with your full name and email address so we can assist you privately. This ensures your information is handled securely.",payment_refund,[],,escalate
G0014,B,@SpotifyCares wat is you doin https://t.co/xYZ1EqGige,other_unclear,,True,no_actionable_content,3,[],other_unclear,auto,none,"The tweet is a vague inquiry with no clear problem or request, and no evidence exists to ground a specific response. A careful agent would recognize this as unclear and respond with a simple, neutral clarification.","Hi there! Your tweet is a bit unclear. Could you please explain what you're asking about? For example, are you asking about a feature, a service, or something else? I'm here to help!",,[],,auto
G0016,B,"@117153 Having some issues logging in via oauth and unknown errors being returned from the web api, any ideas?",account_access_security,,True,account_or_pii,3,[],account_access_security,auto,none,"The customer is experiencing login issues via OAuth and receiving unknown errors from the web API, indicating a potential account access or security problem. A careful support agent would first acknowledge the issue and ask for clarification on the device or browser being used, which is a standard first step in such cases.","Thanks for reaching out! To help troubleshoot, could you please share which device or browser you're using when trying to log in? This will help us identify if it's a device-specific issue or a broader login problem.",,[],,auto
G0017,B,@SpotifyCares me and my friend made a song and my name is under the right profile but his isn't can you fix that?,content_request_or_availability,,False,none,3,[],account_settings_change,escalate,account_or_pii,"The customer requests a change to account profile details (name attribution) for a collaborative song, which involves account settings. Since account profile data must be verified and adjusted by a human, this requires escalation to a private channel for identity and account validation.","To ensure accuracy and security, I'll need to verify your account details. Please reply to this tweet with your email address so I can assist you privately.",,[],,escalate
G0018,B,@115888 you mean to tell me I pay 10 dollars a month for you to have only 3 RBD songs? I’m heartbroken https://t.co/siBTlHyYfA,content_request_or_availability,,False,none,3,[],content_request_or_availability,escalate,account_or_pii,"The customer expresses frustration over limited song availability (only 3 RBD songs) and implies a request for more content, which falls under catalogue availability. However, no evidence exists to ground a public reply on how to address this. Given the lack of actionable public resolution and the need to verify content eligibility or availability, escalation is required.","I'm sorry you're feeling this way. To help, I'll need to check what content is available for RBD. Please note that rights holders decide availability. For a deeper look, I'll need to review your account to confirm your access. I'll connect you to a human for this.",,[],,escalate
